model_name,pytorch_ms,torchscript_ms,onnx_ms,gflops
cnn3d,1.281118392944336,1.0220050811767578,16.741325855255127,2.381184896
r2plus1d,1.3954353332519531,1.2556028366088867,,0.809741696
i3d,3.7755680084228516,2.7411627769470215,,1.53113928
cnn3d_mobile_attn,1.6307616233825684,,,2.430183296
cnn3d_poolformer,1.6259098052978516,,,2.424861056
r2plus1d_mobile_attn,2.3066210746765137,,,0.858740096
r2plus1d_poolformer,2.190420627593994,,,0.853417856
i3d_mobile_attn,5.00807523727417,,,1.6227156
i3d_poolformer,4.706144332885742,,,1.68399528
cnn3d_mobile_attn_pe,1.8302559852600098,,,2.430183296
cnn3d_poolformer_pe,1.744985580444336,,,2.424861056
r2plus1d_mobile_attn_pe,2.255873680114746,,,1.009790336
r2plus1d_poolformer_pe,2.1912145614624023,,,0.853417856
uniformerv2_nano,4.169509410858154,2.7468299865722656,,0.03189504
uniformerv2_tiny,7.356612682342529,4.748959541320801,,0.187030848
